ID,Title,Company,Location,Workexp,Skill
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48499910,클라우드엔지니어/DevOps엔지니어 모집(1년이상 경력),(주)엠티데이타,경기성남시 분당구,신입·경력,Java 솔루션 Python 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48573972,클라우드엔지니어/DevOps엔지니어 경력자 모집(5년이상 경력),(주)엠티데이타,경기성남시 분당구,신입·경력,Java 솔루션 Python 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48545705,Healthcare BU  HC플랫폼개발팀 DevOps파트 채용,삼양식품(주),서울성북구,경력 5~15년,인프라 Java Linux 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48545727,Healthcare BU  HC플랫폼개발팀 DevOps파트 채용,삼양식품(주),서울성북구,경력 5~15년,인프라 Java Linux 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48473376,DevOps 담당 (경력),(주)키다리스튜디오,서울성동구,경력 6~10년,AWS 인프라 네트워크 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48467563,DevOps 매니저,(주)밀리의서재,서울마포구,경력 2~5년,인프라 Linux Python 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48415774,[라온시큐어] DevOps Engineer 경력직 채용,라온시큐어(주),서울영등포구,경력3년↑,정보보안 QA/테스터 SE(시스템엔지니어) 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48358004,[컬리] DevOps 엔지니어 (DevOps Engineer),(주)컬리,서울강남구,경력3년↑,AWS 인프라 아키텍쳐 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48454544,DevOps Engineer,오케스트로(주),서울전체,경력 1~6년,인프라 Linux 네트워크 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48455254,Full Stack Developer (DevOps Platform),오케스트로(주),서울전체,경력 1~10년,Java Linux 백엔드/서버개발 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48527771,DevOps Engineer(AA/TA),오케스트로(주),서울전체,경력 5~25년,AWS 인프라 Java 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47117579,DevOps Engineer,토스증권(주),서울강남구,경력무관,AWS 인프라 Java 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48465758,자율주행 DevOps Engineer (Senior/Staff),(주)에이스웍스코리아,서울강남구,경력 5~15년,인프라 솔루션 백엔드/서버개발 
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48528475,DevOps 엔지니어 모집,(주)바이브컴퍼니,서울용산구,경력3년↑,AWS 인프라 솔루션 
